كود المنتج,اسم المنتج التجاري,اسم المنتج بالمتجر,وصف المنتج,أقل سعر مستهلك (ج.م),أعلى سعر مستهلك (ج.م),احطياطي مخزون,سعر الجمله,رابط الصورة المحلي,تنسيق اللون في الشيت
"HR-003","جهاز بخار نانو للعناية بالشعر","جهاز بخار نانو للعناية بالشعر","مسدس رش بخار النانو لمعالجة الشعر وترطيبه بعمق، يساعد في تعزيز امتصاص منتجات العناية بالشعر.",843,1232,100,0,"images/products/HR-003.jpg",""
"SK-009","ديرما بن دكتور بن ألتيما M5-W","ديرما بن دكتور بن ألتيما M5-W","جهاز ديرما بن اللاسلكي الأنيق باللون الذهبي الوردي، مثالي لتحسين ملمس البشرة وعلاج عيوبها.",1650,2310,100,0,"images/products/SK-009.jpg",""
"HR-004","جهاز تجعيد الشعر التلقائي","جهاز تجعيد الشعر التلقائي","جهاز تجعيد الشعر الأوتوماتيكي للحصول على تموجات رائعة ومثالية بسهولة وأمان في ثوانٍ معدودة.",700,990,100,0,"images/products/HR-004.jpg",""
"RM-001","جهاز إزالة شعر الوجه DSP","جهاز إزالة شعر الوجه DSP","مزيل شعر الوجه الصغير والأنيق من DSP، يزيل الشعر الزائد بلطف وبدون ألم لبشرة ناعمة خالية من العيوب.",190,275,100,0,"images/products/RM-001.jpg",""
"BD-002","كاسات مساج سيليكون للجسم","كاسات مساج سيليكون للجسم","مجموعة كاسات تدليك سيليكون فعالة في محاربة السيلوليت وشد ترهلات الجسم للحصول على قوام متناسق.",365,550,100,0,"images/products/BD-002.jpg",""
"HR-005","ماكينة حلاقة وتشذيب كيمي KM-1910","ماكينة حلاقة وتشذيب كيمي KM-1910","ماكينة حلاقة رجالية متعددة الاستخدامات لتشذيب اللحية والجسم، تأتي مع أمشاط درجات مختلفة وتعمل شحناً بـ USB.",250,352,100,0,"images/products/HR-005.jpg",""
"SK-010","جهاز تقشير وتغذية البشرة مع كبسولات","جهاز تقشير وتغذية البشرة مع كبسولات","جهاز متطور لتقشير البشرة بالأكسجين وتغذيتها، يأتي مع كبسولات متنوعة لتلبية جميع احتياجات العناية بالبشرة.",2250,3300,100,0,"images/products/SK-010.jpg",""
"SK-011","جهاز بخار الوجه الاحترافي","جهاز بخار الوجه الاحترافي","جهاز بخار للوجه مزود بحامل يوفر بخاراً ساخناً وبارداً، مثالي لتنظيف المسام وتجهيز البشرة للعناية في الصالونات أو المنزل.",3100,4400,100,0,"images/products/SK-011.jpg",""
"RM-002","جهاز فلاوليس لإزالة الشعر","جهاز فلاوليس لإزالة الشعر","جهاز إزالة الشعر الصغير والمحمول، بتصميم يشبه أحمر الشفاه لإزالة شعر الوجه بلطف ودقة في أي وقت ومكان.",190,275,100,0,"images/products/RM-002.jpg",""
"RM-003","مجموعة إزالة الشعر 4 في 1 كيمي","مجموعة إزالة الشعر 4 في 1 كيمي","ماكينة إزالة الشعر النسائية المتكاملة 4 في 1، تشمل رؤوساً متعددة للحلاقة وتشذيب الحواجب وإزالة شعر الأنف.",290,418,100,0,"images/products/RM-003.jpg",""
"BD-003","جهاز تدليك الصدر KL-2022","جهاز تدليك الصدر KL-2022","حمالة صدر لتدليك الصدر وتنشيط الدورة الدموية مزودة بخاصية التدفئة، لتوفير الراحة والعناية المتكاملة.",625,880,100,0,"images/products/BD-003.jpg",""
"SK-012","جهاز تنظيف البشرة بالفقاعات الدقيقة","جهاز تنظيف البشرة بالفقاعات الدقيقة","جهاز تنظيف وتقشير الوجه بالفقاعات المائية الدقيقة، يزيل الرؤوس السوداء ويمنح بشرتك ترطيباً ونظافة عميقة.",550,825,100,0,"images/products/SK-012.jpg",""
"BD-004","حزام شد البطن لما بعد الولادة","حزام شد البطن لما بعد الولادة","طقم أحزمة دعم وشد البطن لما بعد الولادة من 3 قطع، يساعد في استعادة شكل الجسم ودعم عضلات البطن بفعالية.",650,990,100,0,"images/products/BD-004.jpg",""
"SK-013","جهاز تنظيف مسام الوجه متعدد الوظائف","جهاز تنظيف مسام الوجه متعدد الوظائف","جهاز إزالة الرؤوس السوداء وشفط دهون البشرة HT-808، يأتي مع رؤوس متعددة لتنظيف البشرة بعمق والحفاظ على نقائها.",325,495,100,0,"images/products/SK-013.jpg",""
"SK-NEW-100","منتج جديد 100","منتج جديد 100","",0,0,0,0,"images/5778280195398765958.jpg",""
"SK-NEW-101","منتج جديد 101","منتج جديد 101","",0,0,0,0,"images/5881709725215297373.jpg",""
"SK-NEW-102","منتج جديد 102","منتج جديد 102","",0,0,0,0,"images/5881709725215297376.jpg",""
"SK-NEW-103","منتج جديد 103","منتج جديد 103","",0,0,0,0,"images/5881709725215297378.jpg",""
"SK-NEW-104","منتج جديد 104","منتج جديد 104","",0,0,0,0,"images/5881709725215297379.jpg",""
"SK-NEW-105","منتج جديد 105","منتج جديد 105","",0,0,0,0,"images/5881709725215297384.jpg",""
"SK-NEW-106","منتج جديد 106","منتج جديد 106","",0,0,0,0,"images/5881709725215297387.jpg",""
"SK-NEW-107","منتج جديد 107","منتج جديد 107","",0,0,0,0,"images/5881709725215297388.jpg",""
"SK-NEW-108","منتج جديد 108","منتج جديد 108","",0,0,0,0,"images/5881709725215297389 (1).jpg",""
"SK-NEW-109","منتج جديد 109","منتج جديد 109","",0,0,0,0,"images/5881709725215297389.jpg",""
"SK-NEW-110","منتج جديد 110","منتج جديد 110","",0,0,0,0,"images/5881709725215297390.jpg",""
"SK-NEW-111","منتج جديد 111","منتج جديد 111","",0,0,0,0,"images/5881709725215297391.jpg",""
"SK-NEW-112","منتج جديد 112","منتج جديد 112","",0,0,0,0,"images/5881709725215297392.jpg",""
"SK-NEW-113","منتج جديد 113","منتج جديد 113","",0,0,0,0,"images/5881709725215297393.jpg",""
"SK-NEW-114","منتج جديد 114","منتج جديد 114","",0,0,0,0,"images/5881709725215297395.jpg",""
"SK-NEW-115","منتج جديد 115","منتج جديد 115","",0,0,0,0,"images/5881709725215297418.jpg",""
"SK-NEW-116","منتج جديد 116","منتج جديد 116","",0,0,0,0,"images/5881709725215297425.jpg",""
"SK-NEW-117","منتج جديد 117","منتج جديد 117","",0,0,0,0,"images/5881709725215297432.jpg",""
"SK-NEW-118","منتج جديد 118","منتج جديد 118","",0,0,0,0,"images/5881709725215297436.jpg",""
"SK-NEW-119","منتج جديد 119","منتج جديد 119","",0,0,0,0,"images/5881709725215297437.jpg",""
"SK-NEW-120","منتج جديد 120","منتج جديد 120","",0,0,0,0,"images/5881709725215297447.jpg",""
"SK-NEW-121","منتج جديد 121","منتج جديد 121","",0,0,0,0,"images/5881709725215297454.jpg",""
"SK-NEW-122","منتج جديد 122","منتج جديد 122","",0,0,0,0,"images/5881709725215297455.jpg",""
"SK-NEW-123","منتج جديد 123","منتج جديد 123","",0,0,0,0,"images/5881709725215297458.jpg",""
"SK-NEW-124","منتج جديد 124","منتج جديد 124","",0,0,0,0,"images/5881709725215297463.jpg",""
"SK-NEW-125","منتج جديد 125","منتج جديد 125","",0,0,0,0,"images/5881709725215297481.jpg",""
"SK-NEW-126","منتج جديد 126","منتج جديد 126","",0,0,0,0,"images/5881709725215297501.jpg",""
"SK-NEW-127","منتج جديد 127","منتج جديد 127","",0,0,0,0,"images/5881709725215297502.jpg",""
"SK-NEW-128","منتج جديد 128","منتج جديد 128","",0,0,0,0,"images/5881709725215297503.jpg",""
"SK-NEW-129","منتج جديد 129","منتج جديد 129","",0,0,0,0,"images/5897814783128440119.jpg",""
"SK-NEW-130","منتج جديد 130","منتج جديد 130","",0,0,0,0,"images/5897814783128440123.jpg",""
"SK-NEW-131","منتج جديد 131","منتج جديد 131","",0,0,0,0,"images/5897814783128440127.jpg",""
"SK-NEW-132","منتج جديد 132","منتج جديد 132","",0,0,0,0,"images/5897814783128440129.jpg",""
"SK-NEW-133","منتج جديد 133","منتج جديد 133","",0,0,0,0,"images/5897814783128440130.jpg",""
"SK-NEW-134","منتج جديد 134","منتج جديد 134","",0,0,0,0,"images/5900094680618175469.jpg",""
"SK-NEW-135","منتج جديد 135","منتج جديد 135","",0,0,0,0,"images/5938073942545337618.jpg",""
"SK-NEW-136","منتج جديد 136","منتج جديد 136","",0,0,0,0,"images/5938073942545337648.jpg",""
"SK-NEW-137","منتج جديد 137","منتج جديد 137","",0,0,0,0,"images/5938073942545337652.jpg",""
"SK-NEW-138","منتج جديد 138","منتج جديد 138","",0,0,0,0,"images/5938073942545337676.jpg",""
"SK-NEW-139","منتج جديد 139","منتج جديد 139","",0,0,0,0,"images/5938073942545337724.jpg",""
"SK-NEW-140","منتج جديد 140","منتج جديد 140","",0,0,0,0,"images/5938073942545337747.jpg",""
"SK-NEW-141","منتج جديد 141","منتج جديد 141","",0,0,0,0,"images/5967608899336604470.jpg",""
"SK-NEW-142","منتج جديد 142","منتج جديد 142","",0,0,0,0,"images/farah.mp4.mp4",""
