كود المنتج (SKU),اسم المنتج التجاري,اسم المنتج بالمتجر,الوصف القصير,الوصف التفصيلي,الفئة,الفئة الفرعية,سعر الجملة,سعر البيع,السعر قبل الخصم,نسبة الخصم %,هامش الربح,الكمية المتاحة,حد التنبيه,الوزن (جرام),رابط الصورة الرئيسية,روابط صور إضافية,كود المورد,حالة المنتج,تاريخ الإضافة,الكلمات المفتاحية (SEO)
code0006,Portable High Frequency LZ-006A,جهاز التردد العالي المحمول,جهاز العناية بالبشرة بتقنية التردد العالي..,جهاز العناية بالبشرة بتقنية التردد العالي، يعالج حب الشباب ويحفز الدورة الدموية لتعزيز صحة ونضارة بشرتك.,العناية بالبشرة,أجهزة علاج وتجديد,480.0,650.0,800.0,0.1875,0.2615384615,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297390.jpg,,5.881709725215297e+18,نشط,2026-08-11,"جهاز التردد العالي المحمول, منتجات العناية, أجهزة تجميل, متجر فرح"
code0028,Dental Water Flosser,جهاز الخيط المائي لتنظيف الأسنان,جهاز تنظيف الأسنان بالخيط المائي اللاسلكي..,جهاز تنظيف الأسنان بالخيط المائي اللاسلكي، يزيل بقايا الطعام والجير بفعالية للثة صحية وأسنان نظيفة مع 3 أوضاع تشغيل.,العناية بالأسنان,أجهزة تنظيف الأسنان,330.0,500.0,750.0,0.3333333333,0.34,50.0,5.0,200.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297391.jpg,,5.881709725215297e+18,نشط,2026-08-11,"جهاز الخيط المائي لتنظيف الأسنان, تنظيف الأسنان, الخيط المائي, تبييض الأسنان, لثة صحية"
code0007,Intense Pulsed Light ES-1081,جهاز تقليل التجاعيد بالنبضات الضوئية,جهاز لتدليك وشد الوجه والرقبة..,جهاز لتدليك وشد الوجه والرقبة، يعمل بتقنية النبضات الضوئية لتقليل التجاعيد واستعادة شباب البشرة.,العناية بالبشرة,أجهزة علاج وتجديد,220.0,450.0,550.0,0.1818181818,0.5111111111,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297392.jpg,,5.881709725215297e+18,نشط,2026-08-11,"جهاز تقليل التجاعيد بالنبضات الضوئية, منتجات العناية, أجهزة تجميل, متجر فرح"
code0008,Silicone Cupping 4 Cups,طقم كاسات حجامة سيليكون,مجموعة كاسات حجامة سيليكون مرنة باللون الأزرق..,مجموعة كاسات حجامة سيليكون مرنة باللون الأزرق، تستخدم للتدليك وتنشيط الدورة الدموية وتخفيف آلام العضلات.,العناية بالجسم,أدوات مساج وتدليك,290.0,400.0,500.0,0.2,0.275,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297393.jpg,,5.881709725215297e+18,نشط,2026-08-11,"طقم كاسات حجامة سيليكون, منتجات العناية, أجهزة تجميل, متجر فرح"
code0009,Joy 2-in-1 Dryer & Styler,فرشاة تصفيف الشعر جوي,مجفف ومصفف شعر احترافي 2 في 1 من جوي..,مجفف ومصفف شعر احترافي 2 في 1 من جوي، يمنحك شعراً ناعماً وكثيفاً في وقت قياسي وبكل سهولة.,العناية بالشعر,أدوات تصفيف الشعر,900.0,1000.0,1200.0,0.1666666667,0.1,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297395.jpg,,5.881709725215297e+18,نشط,2026-08-11,"فرشاة تصفيف الشعر جوي, منتجات العناية, أجهزة تجميل, متجر فرح"
code0010,Kemei KM-099 / T99,ماكينة حلاقة الشعر كيمي KM-099,ماكينة حلاقة وتشذيب الشعر الاحترافية من كيمي..,ماكينة حلاقة وتشذيب الشعر الاحترافية من كيمي، بتصميم أنيق ومحرك قوي لنتائج دقيقة وحلاقة مريحة.,العناية الشخصية للرجال,أدوات حلاقة وتشذيب,130.0,,,0.0,0.0,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297418.jpg,,5.881709725215298e+18,نشط,2026-08-11,"ماكينة حلاقة الشعر كيمي KM-099, ماكينة حلاقة, تشذيب اللحية, حلاقة رجالية, كيمي"
code0011,Blue Magic XH-040H,جهاز بخار نانو للعناية بالشعر,مسدس رش بخار النانو لمعالجة الشعر وترطيبه بعمق..,مسدس رش بخار النانو لمعالجة الشعر وترطيبه بعمق، يساعد في تعزيز امتصاص منتجات العناية بالشعر.,العناية الشخصية,أخرى,750.0,1050.0,1450.0,0.275862069,0.2857142857,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297425.jpg,,5.881709725215298e+18,نشط,2026-08-11,"جهاز بخار نانو للعناية بالشعر, جهاز بخار الوجه, بخار منزلي, تنظيف المسام, نضارة البشرة"
code0012,Dr. Pen Ultima M5-W,ديرما بن دكتور بن ألتيما M5-W,جهاز ديرما بن اللاسلكي الأنيق باللون الذهبي الوردي..,جهاز ديرما بن اللاسلكي الأنيق باللون الذهبي الوردي، مثالي لتحسين ملمس البشرة وعلاج عيوبها.,العناية بالبشرة,ديرما بن,1000.0,1300.0,1680.0,0.2261904762,0.2307692308,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297432.jpg,,5.881709725215298e+18,نشط,2026-08-11,"ديرما بن دكتور بن ألتيما M5-W, ديرما بن, علاج الندبات, نضارة البشرة, كولاجين"
code0013,The Glam Hair Curler,جهاز تجعيد الشعر التلقائي,جهاز تجعيد الشعر الأوتوماتيكي للحصول على تموجات رائعة ومثالية بسهولة وأمان في ثوانٍ معدودة...,جهاز تجعيد الشعر الأوتوماتيكي للحصول على تموجات رائعة ومثالية بسهولة وأمان في ثوانٍ معدودة.,العناية بالشعر,أدوات تصفيف الشعر,550.0,1000.0,2000.0,0.5,0.45,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297436.jpg,,5.881709725215298e+18,نشط,2026-08-11,"جهاز تجعيد الشعر التلقائي, منتجات العناية, أجهزة تجميل, متجر فرح"
code0014,DSP Flawless Facial Remover,جهاز إزالة شعر الوجه DSP,مزيل شعر الوجه الصغير والأنيق من DSP..,مزيل شعر الوجه الصغير والأنيق من DSP، يزيل الشعر الزائد بلطف وبدون ألم لبشرة ناعمة خالية من العيوب.,العناية الشخصية للنساء,أدوات إزالة الشعر,240.0,350.0,400.0,0.125,0.3142857143,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297437.jpg,,5.881709725215298e+18,نشط,2026-08-11,"جهاز إزالة شعر الوجه DSP, إزالة شعر الوجه, فلاوليس, بدون ألم, حلاقة نسائية"
code0015,Versatile Silicone Cupping,كاسات مساج سيليكون للجسم,مجموعة كاسات تدليك سيليكون فعالة في محاربة السيلوليت وشد ترهلات الجسم للحصول على قوام متناسق...,مجموعة كاسات تدليك سيليكون فعالة في محاربة السيلوليت وشد ترهلات الجسم للحصول على قوام متناسق.,العناية بالجسم,أدوات مساج وتدليك,200.0,400.0,500.0,0.2,0.5,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297447.jpg,,5.881709725215298e+18,نشط,2026-08-11,"كاسات مساج سيليكون للجسم, منتجات العناية, أجهزة تجميل, متجر فرح"
code0016,Kemei KM-1910,ماكينة حلاقة وتشذيب كيمي KM-1910,ماكينة حلاقة رجالية متعددة الاستخدامات لتشذيب اللحية والجسم..,ماكينة حلاقة رجالية متعددة الاستخدامات لتشذيب اللحية والجسم، تأتي مع أمشاط درجات مختلفة وتعمل شحناً بـ USB.,العناية الشخصية للرجال,أدوات حلاقة وتشذيب,390.0,,,0.0,0.0,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297454.jpg,,5.881709725215298e+18,نشط,2026-08-11,"ماكينة حلاقة وتشذيب كيمي KM-1910, ماكينة حلاقة, تشذيب اللحية, حلاقة رجالية, كيمي"
code0017,Geneo Oxygenation pods,جهاز تقشير وتغذية البشرة مع كبسولات,جهاز متطور لتقشير البشرة بالأكسجين وتغذيتها..,جهاز متطور لتقشير البشرة بالأكسجين وتغذيتها، يأتي مع كبسولات متنوعة لتلبية جميع احتياجات العناية بالبشرة.,العناية بالبشرة,أجهزة تنظيف وتقشير,2300.0,6000.0,7000.0,0.1428571429,0.6166666667,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297455.jpg,,5.881709725215298e+18,نشط,2026-08-11,"جهاز تقشير وتغذية البشرة مع كبسولات, منتجات العناية, أجهزة تجميل, متجر فرح"
code0018,Hot & Cool Facial Steamer,جهاز بخار الوجه الاحترافي,جهاز بخار للوجه مزود بحامل يوفر بخاراً ساخناً وبارداً..,جهاز بخار للوجه مزود بحامل يوفر بخاراً ساخناً وبارداً، مثالي لتنظيف المسام وتجهيز البشرة للعناية في الصالونات أو المنزل.,العناية بالبشرة,أجهزة بخار الوجه,1900.0,3000.0,3450.0,0.1304347826,0.3666666667,50.0,5.0,4500.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297458.jpg,,5.881709725215298e+18,نشط,2026-08-11,"جهاز بخار الوجه الاحترافي, جهاز بخار الوجه, بخار منزلي, تنظيف المسام, نضارة البشرة"
code0019,Flawless Hair Remover F-120,جهاز فلاوليس لإزالة الشعر,جهاز إزالة الشعر الصغير والمحمول..,جهاز إزالة الشعر الصغير والمحمول، بتصميم يشبه أحمر الشفاه لإزالة شعر الوجه بلطف ودقة في أي وقت ومكان.,العناية الشخصية للنساء,أدوات إزالة الشعر,120.0,220.0,250.0,0.12,0.4545454545,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297463.jpg,,5.881709725215298e+18,نشط,2026-08-11,"جهاز فلاوليس لإزالة الشعر, إزالة شعر الوجه, فلاوليس, بدون ألم, حلاقة نسائية"
code0020,Kemei 4 in 1 KM-3024,مجموعة إزالة الشعر 4 في 1 كيمي,ماكينة إزالة الشعر النسائية المتكاملة 4 في 1..,ماكينة إزالة الشعر النسائية المتكاملة 4 في 1، تشمل رؤوساً متعددة للحلاقة وتشذيب الحواجب وإزالة شعر الأنف.,العناية الشخصية للنساء,أدوات إزالة الشعر,240.0,450.0,600.0,0.25,0.4666666667,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297481.jpg,,5.881709725215298e+18,نشط,2026-08-11,"مجموعة إزالة الشعر 4 في 1 كيمي, منتجات العناية, أجهزة تجميل, متجر فرح"
code0029,F-37 Multi-function Flashlight,كشاف طوارئ متعدد الاستخدامات,كشاف طوارئ F-37 احترافي بقوة إضاءة عالية مع بطارية كبيرة..,كشاف طوارئ F-37 احترافي بقوة إضاءة عالية مع بطارية كبيرة، يحتوي على شفرة قاطع، صافرة إنذار، وشحن Type-C.,إلكترونيات وإكسسوارات,أدوات طوارئ,450.0,600.0,770.0,0.2207792208,0.25,50.0,5.0,250.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297501.jpg,,5.881709725215298e+18,نشط,2026-08-11,"كشاف طوارئ متعدد الاستخدامات, منتجات العناية, أجهزة تجميل, متجر فرح"
code0030,USB Type-C Electric Arc Lighter,ولاعة قوسية قابلة للشحن,ولاعة الكترونية حديثة مقاومة للرياح تعمل بالشحن عن طريق USB..,ولاعة الكترونية حديثة مقاومة للرياح تعمل بالشحن عن طريق USB، آمنة ومناسبة للاستخدام المنزلي والرحلات.,أدوات منزلية,ولاعات إلكترونية,0.0,,,0.0,0.0,0.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297502.jpg,,5.881709725215298e+18,غير متوفر,2026-08-11,"ولاعة قوسية قابلة للشحن, منتجات العناية, أجهزة تجميل, متجر فرح"
code0031,Tractors for Cervical Spine,طوق شد فقرات الرقبة 3 طبقات,جهاز شد فقرات الرقبة القابل للنفخ يساعد على تخفيف آلام الرقبة وتصحيح الوضعية..,جهاز شد فقرات الرقبة القابل للنفخ يساعد على تخفيف آلام الرقبة وتصحيح الوضعية، تصميم مريح من 3 طبقات.,العناية بالجسم,أدوات علاج طبيعي,145.0,255.0,340.0,0.25,0.431372549,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297503.jpg,,5.881709725215298e+18,نشط,2026-08-11,"طوق شد فقرات الرقبة 3 طبقات, منتجات العناية, أجهزة تجميل, متجر فرح"
code0021,Chest Massager KL-2022,جهاز تدليك الصدر KL-2022,حمالة صدر لتدليك الصدر وتنشيط الدورة الدموية مزودة بخاصية التدفئة..,حمالة صدر لتدليك الصدر وتنشيط الدورة الدموية مزودة بخاصية التدفئة، لتوفير الراحة والعناية المتكاملة.,العناية الشخصية,أخرى,450.0,700.0,900.0,0.2222222222,0.3571428571,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440119.jpg,,5.89781478312844e+18,نشط,2026-08-11,"جهاز تدليك الصدر KL-2022, منتجات العناية, أجهزة تجميل, متجر فرح"
code0022,Super Micro Bubble D-Clean,جهاز تنظيف البشرة بالفقاعات الدقيقة,جهاز تنظيف وتقشير الوجه بالفقاعات المائية الدقيقة..,جهاز تنظيف وتقشير الوجه بالفقاعات المائية الدقيقة، يزيل الرؤوس السوداء ويمنح بشرتك ترطيباً ونظافة عميقة.,العناية بالبشرة,أجهزة إزالة الشوائب,230.0,430.0,610.0,0.2950819672,0.4651162791,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440123.jpg,,5.89781478312844e+18,نشط,2026-08-11,"جهاز تنظيف البشرة بالفقاعات الدقيقة, منتجات العناية, أجهزة تجميل, متجر فرح"
code0032,Colorful LED Beauty Mask,قناع الوجه الضوئي LED,قناع الجمال بتقنية إضاءة LED الملونة لعلاج مشاكل البشرة وتجديد الخلايا وتقليل التجاعيد..,قناع الجمال بتقنية إضاءة LED الملونة لعلاج مشاكل البشرة وتجديد الخلايا وتقليل التجاعيد، لبشرة أكثر نضارة.,العناية بالبشرة,أجهزة علاج وتجديد,900.0,1400.0,2000.0,0.3,0.3571428571,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440127.jpg,,5.89781478312844e+18,نشط,2026-08-11,"قناع الوجه الضوئي LED, منتجات العناية, أجهزة تجميل, متجر فرح"
code0023,Postpartum Abdomen Support,حزام شد البطن لما بعد الولادة,طقم أحزمة دعم وشد البطن لما بعد الولادة من 3 قطع..,طقم أحزمة دعم وشد البطن لما بعد الولادة من 3 قطع، يساعد في استعادة شكل الجسم ودعم عضلات البطن بفعالية.,العناية بالجسم,أحزمة دعم وشد,300.0,450.0,550.0,0.1818181818,0.3333333333,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440129.jpg,,5.89781478312844e+18,نشط,2026-08-11,"حزام شد البطن لما بعد الولادة, منتجات العناية, أجهزة تجميل, متجر فرح"
code0024,Multifunctional HT-808,جهاز تنظيف مسام الوجه متعدد الوظائف,جهاز إزالة الرؤوس السوداء وشفط دهون البشرة HT-808..,جهاز إزالة الرؤوس السوداء وشفط دهون البشرة HT-808، يأتي مع رؤوس متعددة لتنظيف البشرة بعمق والحفاظ على نقائها.,العناية بالبشرة,أجهزة إزالة الشوائب,170.0,300.0,380.0,0.2105263158,0.4333333333,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440130.jpg,,5.89781478312844e+18,نشط,2026-08-11,"جهاز تنظيف مسام الوجه متعدد الوظائف, منتجات العناية, أجهزة تجميل, متجر فرح"
code0033,Adjustable Hand Grip Strengthener,مقبض تمارين اليد مع عداد,أداة تمرين قبضة اليد قابلة للتعديل ومزودة بعداد إلكتروني..,أداة تمرين قبضة اليد قابلة للتعديل ومزودة بعداد إلكتروني، مثالية لتقوية عضلات اليد والساعد.,العناية بالجسم,أجهزة رياضية,60.0,90.0,140.0,0.3571428571,0.3333333333,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5900094680618175469.jpg,,5.900094680618177e+18,نشط,2026-08-11,"مقبض تمارين اليد مع عداد, منتجات العناية, أجهزة تجميل, متجر فرح"
code0034,NANOFOG Scalp Massage Comb,مشط تدليك فروة الرأس,مشط ذكي لتدليك فروة الرأس وتوزيع السوائل والعلاجات بتقنية النانو..,مشط ذكي لتدليك فروة الرأس وتوزيع السوائل والعلاجات بتقنية النانو، يحفز نمو الشعر ويقوي الجذور.,العناية الشخصية,أخرى,175.0,250.0,300.0,0.1666666667,0.3,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337618.jpg,,5.938073942545337e+18,نشط,2026-08-11,"مشط تدليك فروة الرأس, منتجات العناية, أجهزة تجميل, متجر فرح"
code0035,JOC Radio H799,راديو ديجيتال JOC H799,راديو محمول مشغل ديجيتال مع إضاءة وبطارية تدوم طويلاً..,راديو محمول مشغل ديجيتال مع إضاءة وبطارية تدوم طويلاً، يدعم FM وصوت نقي وعالي الجودة.,إلكترونيات وإكسسوارات,راديو وميديا,225.0,300.0,340.0,0.1176470588,0.25,50.0,5.0,400.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337648.jpg,,5.938073942545337e+18,نشط,2026-08-11,"راديو ديجيتال JOC H799, راديو محمول, راديو ديجيتال, كلاسيك راديو, محطات راديو"
code0036,Classic 5 Band Radio,راديو كلاسيكي 5 موجات,راديو كلاسيكي أنيق يدعم موجات FM/AM/SW بتصميم عصري وصوت واضح لجميع المحطات المفضلة...,راديو كلاسيكي أنيق يدعم موجات FM/AM/SW بتصميم عصري وصوت واضح لجميع المحطات المفضلة.,إلكترونيات وإكسسوارات,راديو وميديا,225.0,300.0,350.0,0.1428571429,0.25,50.0,5.0,400.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337652.jpg,,5.938073942545337e+18,نشط,2026-08-11,"راديو كلاسيكي 5 موجات, راديو محمول, راديو ديجيتال, كلاسيك راديو, محطات راديو"
code0037,Electric Coal Starter,سخان فحم كهربائي,سخان وموقد فحم كهربائي سريع الاشتعال..,سخان وموقد فحم كهربائي سريع الاشتعال، آمن وعملي لتسخين الفحم للشيشة أو البخور في دقائق.,أدوات منزلية,أجهزة تسخين,190.0,300.0,330.0,0.09090909091,0.3666666667,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337676.jpg,,5.938073942545337e+18,نشط,2026-08-11,"سخان فحم كهربائي, منتجات العناية, أجهزة تجميل, متجر فرح"
code0038,FLAWLESS Pedi,جهاز بديكير إلكتروني فلاوليس,أداة العناية بالقدمين الكهربائية لإزالة الجلد الميت والتشققات بسهولة وأمان للحصول على أقدام ناعمة كالحرير...,أداة العناية بالقدمين الكهربائية لإزالة الجلد الميت والتشققات بسهولة وأمان للحصول على أقدام ناعمة كالحرير.,العناية الشخصية للنساء,أدوات بديكير,85.0,140.0,220.0,0.3636363636,0.3928571429,50.0,5.0,150.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337724.jpg,,5.938073942545337e+18,نشط,2026-08-11,"جهاز بديكير إلكتروني فلاوليس, إزالة شعر الوجه, فلاوليس, بدون ألم, حلاقة نسائية"
code0039,Air Compressor LS-208,منفاخ هواء للسيارات ذكي,كمبروسر هواء محمول للسيارات بقوة 350 واط وشاشة ديجيتال ذكية وفصل أوتوماتيكي مع كشاف طوارئ...,كمبروسر هواء محمول للسيارات بقوة 350 واط وشاشة ديجيتال ذكية وفصل أوتوماتيكي مع كشاف طوارئ.,إلكترونيات وإكسسوارات,منفاخ هواء ذكي,850.0,1050.0,1200.0,0.125,0.1904761905,50.0,5.0,850.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337747.jpg,,5.938073942545337e+18,نشط,2026-08-11,"منفاخ هواء للسيارات ذكي, منتجات العناية, أجهزة تجميل, متجر فرح"
code0040,MAXTOP Compact Power Massager,مسدس مساج كهربائي MAXTOP,جهاز تدليك قوي ولاسلكي بـ 6 سرعات ورؤوس متعددة..,جهاز تدليك قوي ولاسلكي بـ 6 سرعات ورؤوس متعددة، لتخفيف آلام العضلات والمفاصل باحترافية عالية.,العناية بالجسم,أدوات مساج وتدليك,350.0,600.0,900.0,0.3333333333,0.4166666667,50.0,5.0,1200.0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5967608899336604470.jpg,,5.967608899336605e+18,نشط,2026-08-11,"مسدس مساج كهربائي MAXTOP, منتجات العناية, أجهزة تجميل, متجر فرح"
